EBE_class,mutation,epimutation,back_epimutation,w11,w22,w33,w44,w12,w13,w14,w23,w24,w34,num_equil,p1,p2,p3,p4,jacobian,EBE_exp
devfromebe_recessive,1.00E-07,0.001,0.01,0.992559741,0.992559741,0.992559741,1,0.992559741,0.992559741,0.992559741,0.992559741,0.992559741,0.992559741,1,0,0.903410942,0,0.096589058,-7.58E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.308518863,0.308518863,0.308518863,1,0.308518863,0.308518863,0.308518863,0.308518863,0.308518863,0.308518863,1,0,0.014520782,0,0.985479218,-0.322001666,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.984229539,0.984229539,0.984229539,1,0.984229539,0.984229539,0.984229539,0.984229539,0.984229539,0.984229539,1,0,0.894836536,0,0.105163464,-1.62E-08,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.941422157,0.941422157,0.941422157,1,0.941422157,0.941422157,0.941422157,0.941422157,0.941422157,0.941422157,1,0,0.207477957,0,0.792522043,-5.33945E-05,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.998339791,0.998339791,0.998339791,1,0.998339791,0.998339791,0.998339791,0.998339791,0.998339791,0.998339791,1,0,0.907940434,0,0.092059566,-1.68E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.975450903,0.975450903,0.975450903,1,0.975450903,0.975450903,0.975450903,0.975450903,0.975450903,0.975450903,1,0,0.88076944,0,0.11923056,-2.49E-08,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.95535284,0.95535284,0.95535284,1,0.95535284,0.95535284,0.95535284,0.95535284,0.95535284,0.95535284,1,0,0.30401844,0,0.69598156,-1.0332E-05,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.988170059,0.988170059,0.988170059,1,0.988170059,0.988170059,0.988170059,0.988170059,0.988170059,0.988170059,1,0,0.899271169,0,0.100728831,-1.21E-08,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.86966413,0.86966413,0.86966413,1,0.86966413,0.86966413,0.86966413,0.86966413,0.86966413,0.86966413,1,0,0.082038451,0,0.917961549,-0.001425476,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.931678359,0.931678359,0.931678359,1,0.931678359,0.931678359,0.931678359,0.931678359,0.931678359,0.931678359,1,0,0.171123074,0,0.828876926,-0.00011153,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.988016887,0.988016887,0.988016887,1,0.988016887,0.988016887,0.988016887,0.988016887,0.988016887,0.988016887,1,0,0.899112988,0,0.100887012,-1.23E-08,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.998455091,0.998455091,0.998455091,1,0.998455091,0.998455091,0.998455091,0.998455091,0.998455091,0.998455091,1,0,0.908022262,0,0.091977738,-1.56E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.556914644,0.556914644,0.556914644,1,0.556914644,0.556914644,0.556914644,0.556914644,0.556914644,0.556914644,1,0,0.022832649,0,0.977167351,-0.080666986,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.988873764,0.988873764,0.988873764,1,0.988873764,0.988873764,0.988873764,0.988873764,0.988873764,0.988873764,1,0,0.899984889,0,0.100015111,-1.14E-08,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.72878095,0.72878095,0.72878095,1,0.72878095,0.72878095,0.72878095,0.72878095,0.72878095,0.72878095,1,0,0.037816906,0,0.962183094,-0.016914179,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.993894628,0.993894628,0.993894628,1,0.993894628,0.993894628,0.993894628,0.993894628,0.993894628,0.993894628,1,0,0.904538577,0,0.095461423,-6.20E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.967571222,0.967571222,0.967571222,1,0.967571222,0.967571222,0.967571222,0.967571222,0.967571222,0.967571222,1,0,0.854872979,0,0.145127021,-2.88E-08,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.636260297,0.636260297,0.636260297,1,0.636260297,0.636260297,0.636260297,0.636260297,0.636260297,0.636260297,1,0,0.027943298,0,0.972056702,-0.043291987,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.912008327,0.912008327,0.912008327,1,0.912008327,0.912008327,0.912008327,0.912008327,0.912008327,0.912008327,1,0,0.126997801,0,0.873002199,-0.000325667,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.945757998,0.945757998,0.945757998,1,0.945757998,0.945757998,0.945757998,0.945757998,0.945757998,0.945757998,1,0,0.2295703,0,0.7704297,-3.55569E-05,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.70156827,0.70156827,0.70156827,1,0.70156827,0.70156827,0.70156827,0.70156827,0.70156827,0.70156827,1,0,0.034256029,0,0.965743971,-0.023022264,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.996154692,0.996154692,0.996154692,1,0.996154692,0.996154692,0.996154692,0.996154692,0.996154692,0.996154692,1,0,0.906331154,0,0.093668846,-3.89E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.971321797,0.971321797,0.971321797,1,0.971321797,0.971321797,0.971321797,0.971321797,0.971321797,0.971321797,1,0,0.870180546,0,0.129819454,-2.80E-08,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.955143012,0.955143012,0.955143012,1,0.955143012,0.955143012,0.955143012,0.955143012,0.955143012,0.955143012,1,0,0.301782053,0,0.698217947,-1.0702E-05,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.968056652,0.968056652,0.968056652,1,0.968056652,0.968056652,0.968056652,0.968056652,0.968056652,0.968056652,1,0,0.857399891,0,0.142600109,-2.89E-08,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.920509998,0.920509998,0.920509998,1,0.920509998,0.920509998,0.920509998,0.920509998,0.920509998,0.920509998,1,0,0.142849576,0,0.857150424,-0.000215129,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.93617749,0.93617749,0.93617749,1,0.93617749,0.93617749,0.93617749,0.93617749,0.93617749,0.93617749,1,0,0.186104191,0,0.813895809,-8.13428E-05,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.90113893,0.90113893,0.90113893,1,0.90113893,0.90113893,0.90113893,0.90113893,0.90113893,0.90113893,1,0,0.111281427,0,0.888718573,-0.000513682,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.198066169,0.198066169,0.198066169,1,0.198066169,0.198066169,0.198066169,0.198066169,0.198066169,0.198066169,1,0,0.01249795,0,0.98750205,-0.508251635,0.090909091
